English,Mon,Original_Definition
Underestimate,အထေၚ်ဍောတ်,"(v) look down upon, have a low opinion of someone, underestimate."
Undergraduate class,တန်သၟဝ်မဟိမု,(n) undergraduate class.
Underground,သၟဝ်တိ,"(prep) underground, subterranean, clandestine."
Underground railway.  ဂၠံၚ်ကွဳပၟတ်အသၟဝ်တိ။,ကတိုၚ်,ဂၠံၚ်ကွဳဓါတ်က္တိုၚ်တိ (n) underground railway. [id] ဂၠံၚ်ကွဳပၟတ်အသၟဝ်တိ။
Underground water course,ဇၟောဝ်ဍာ်,"(n) current, underground water course, flowing water."
Undergrowth,စာပ်,(n) ရာပ်စာပ် (n) undergrowth.
Undergrowth,ရာပ်စာပ်,(n) undergrowth.
Underhand machination.  ၜတ်တဲ။,သတ်တဲပၞုက်,(n) underhand machination. [Cf.] ၜတ်တဲ(ယ်)။
Underhandedly,နဒဒှ်မစၞာဲတ္ၚံက်တ္ၚေဲ,(adv) underhandedly.
Underling,ကောန်ရဲတဲခွာ,"(n) retainer, entourage, followers, person who serves under someone in office, underling, subordinate, equipage. မပ္တံ(မ်) etc. and other similar things. ကပေါတ်ကရိယာမနွံပၟိက်၊ ကောန်ရဲ(ယ်)၊ ကွးဗက်လက်ကရဴ၊ ကွဳချေံ(ဟ်)၊ ချေံ(ဟ်)၊ ခွာ၊ တွဳဒွိုၚ်၊ တွဳဗွိုၚ်၊ တွဳဝါရ၊ တွး၊ နာံမြိုၚ်၊ ပွဳဗွိုၚ်၊ ဗော်သွး၊ ဗွက်၊ ဗွက်ကြဴ၊ ဘဝက်၊ မသ၊ မၞိဟ်ဗက်သ္ကံ(အ်)၊ ရဲ(ယ်)၊ ရဲခွာ၊ ရဲသာ၊ လိၚ်ခၟာၚ်၊ သ္ကံကောန်ရဲ(ယ်)၊ သာ၊ သ္ဍံၚ်။"
Underneath,ပ္ဍဲ,"ပ္ဍဲအသၟဝ် (prep) under, underneath."
Underneath,အမှဝ်,"(prep.) [colloq] lower part, under, underneath, below. [id] အသၟဝ်။"
Underneath,အသၟဝ်,"(prep.) [colloq] lower part, under, underneath, below. [id] အမှဝ်။"
Undernourishment,ဒဒှ်မယုတ်ဒေက်အာဟာရ,(n) undernourishment.
Underpin,ထံက်,"(v) to prop, underpin, to support, assist, to brace, to set upon end."
Underrate,ဖျံတော်,"(v) underrate, under estimate."
Undersized pony,ချေံတၟံ,ချေံတၟအ် (n) undersized pony.
Understand,ကၠိုဟ်,"1 (v) understand, know, comprehend, to know thoroughly, to understand thoroughly.    (adj.) whole, through."
Understand clearly,သောၚ်စိုတ်,"(v) to comprehend, understand clearly."
Understand fully,ကၠိုဟ်ချိုတ်ပၠိုတ်,"(v) {of things or problems} become clear, comprehend, understand fully."
Understand or see clearly,တီညာတ်,"(v) understand or see clearly, know, comprehend, know {some one} well, to be acquainted with."
Understand the situation,တီကၠိုဟ်အကာဲအရာ,(v) understand the situation.
Understand the situation,တီကၠိုဟ်အကာဲအရာ,(v) understand the situation.
Understand.  ear hole,တလိုဟ်က္တောဝ်,"(v) come to know, understand. (n) ear hole, hole bored in the lobe of the ear for ear-ring."
Understand.  လုပ်က္တောဝ်။,ဒးက္တောဝ်,"(v) accept (what somebody has said), be persuaded, understand. [id] လုပ်က္တောဝ်။"
Understandable,မကၠိုဟ်ခၠၚ်ကေတ်ပ္ဍဲစိုတ်မာန်,(adj) understandable.
Understanding,ဂတိညာန်,(n) understanding.
Understanding,ဂမြၚ်,"1 (n) comprehension, understanding."
Understanding,ပတိဘာန်,(n) [P. patibhanam] understanding.
Understanding,ပြဒ္ညာ,"(n) [Skt. Prajan] judgment, intelligence, understanding, wisdom, knowledge."
Understanding,အညာ,"2 (adj.) knowledge, understanding, familiarity gained by experience, range of information, general knowledge. [id.] အရာမတုပ်သၟဟ်လဝ်စိုတ်၊ ဒဒှ်မမြက်စာဍိုဟ်ကေက်၊ ဒဒှ်မလေပ်စိုန်သ္ကီုကၠိုဟ်ခၠၚ်၊ ပြတ်ညာ၊ ပြဒ္ညာ။ မနွံကဵုဓဝ်ကၠိုဟ်ခၠၚ်၊ သတိဘာန်၊ မနွံကဵုလညာတ်ဆဵုဂဗ။"
Understood,ဗွဲသွာ,"(adv) easy, understood, easily. [id] သက်သက်သာသာ၊ လောဲလောဲဗွဲဗွဲ၊ နဒဒှ်မဟွံစွံဆန္ဒစိုတ်သ္ဇိုဟ်သ္ဇိုဟ်နက်နက်။"
Undertake,ဓဂိုန်,"2 (v) to preserve, observe, keep, undertake."
Undertake the duty,ဒ္ဂိုန်သဳ,"(v) vow to keep the precepts, undertake the duty, to undertake the keeping of precepts, to undertake the duty of keeping the precepts on the upposatha or duty day."
Undertake to do something,ဒုၚ်ကံပါၚ်,"(v) verbal promise, to fall in with a suggestion, assent, concur, undertake to do something, to ask permission, to make an agreement, to obtain consent. [Cf.] ဒုၚ်ပါၚ်။ [id] ဒုၚ်ေဝါန်။"
Undertake.  ဒ္ဂိုန်။  ဒ္ဂေတ်၊ မၚ်။  ဒ္ဂိုန်  first month of lent,ဒဂိုန်,"2 (v) to observe, keep, undertake. [id] ဒ္ဂိုန်။ [Cf.] ဒ္ဂေတ်၊ မၚ်။ [Der.] ဒ္ဂိုန် (n) first month of Lent."
Undertaken to acquire merit,ဂၠန်,"2 (n) provision of public utility, such as road, well or jreob {resthouse}, undertaken to acquire merit."
Undertaking.  အရာမဒုၚ်လဝ်လျိုၚ်၊ ကတိ။,ကမၠောန်မကေတ်တာလျိုၚ်,(n) undertaking. [id] အရာမဒုၚ်လဝ်လျိုၚ်၊ ကတိ။
Underwriter,မၞိဟ်ဒုၚ်လျိုၚ်သွက်ကပေါတ်ကညောတ် မဟောံဗြောံလေၚ်ဒိုက်အာ,(n) underwriter.
Undesirable,အနိဋ္ဌာရီု,"(n) [P.] undesirable, disagreeable or unpleasant thing."
Undesirable properties,ဂစိုတ်အကၚ်,"(v) treat substances eradicate odours, undesirable properties, etc. deodorize, deaden, denature."
Undeveloped,ဓိုမ်,"1 (adj) dull, stupid, good for nothing, inferior {of grain}, undeveloped."
Undeveloped,ဓီု,"1 ဓိုမ် (adj) dull, stupid, good for nothing, inferior {of grain}, undeveloped."
Undiminished,ပေၚ်လိုအ်,"ပေၚ်လိုအ်ဗ္ဂာဒၟံၚ် (v) to be full, undiminished."
Undisclosed information,တၚ်နၚ်ရနုၚ်ဗ္ဒန်,"(n) hidden fact, undisclosed information."
Undo,ပၠာဲ,"(v) to dissolve, make a decoction of, to loosen, undo, untie, to mix as medicine with fluid. [Cf.] second sense, တလာဲ၊ ပလိုဟ်၊ ပၠး၊ ပၠိုဟ်၊ ဗလး၊ သှ်။ [Var.] ပလာဲ။ [Der.] ပၞာဲ (n) place for making salt."
Undo,သှ်,"(v) untie, to untether, to unfasten, to answer, interpret, give effect to, undo, open, solve, reply."
Undo,သဟ်,"(v) untie, to untether, to unfasten, to answer, interpret, give effect to, undo, open, solve, reply."
Undo the hair,သှ်ပလာဲသော်,(v) undo the hair.
Undoing.    စိုပ်လေၚ်  to meet with disaster.    ပိုဲဒှ်လေၚ်  we are done for,လေၚ်,"2 (n) dissolution, destruction, effacement, undoing.    စိုပ်လေၚ် (v) to meet with disaster.    ပိုဲဒှ်လေၚ် (v) we are done for."
Undomesticated,အရိုၚ်,"(n) wildness, [esp.] of human beings, primitive state, lack of breeding, uncultured person, uninitiated or native person, anything wild, untamed, undomesticated, something in its natural state, {of gem} uncut, raw."
Undone,လိုဟ်,"(n) to come untwisted, uncoiled, undone, to ravel."
