English,Mon,Original_Definition
Take a short nap,မတ်ထ္ၜေက်စှေ်မွဲလစုတ်,"(v) doze, take a short nap."
Take a turn,ကၠောန်မွဲဗလး,(v) take a turn.
Take a walk.  ဒဒှ်မကြေဝ်ဝေၚ်။,ဒဒှ်မကြေဝ်,(n) take a walk. [id] ဒဒှ်မကြေဝ်ဝေၚ်။
Take a wife,သ္ပဗြဴ,"(v) take a wife, cohabit."
Take a wife.  ကေတ်ဗြဴ။,မံၚ်ဗြဴ,(v) take a wife. [id] ကေတ်ဗြဴ။
Take aim.  ၜိုတ်ဒ္ဂူ၊ ၜိုတ်ဗ္ဒဝ်၊ ၜိုတ်လ္ဂူ၊ ၜိုတ်သ္တပ်။,တၚ်သၞ,"(v) to set, to make ready, take aim. [id] ၜိုတ်ဒ္ဂူ၊ ၜိုတ်ဗ္ဒဝ်၊ ၜိုတ်လ္ဂူ၊ ၜိုတ်သ္တပ်။"
Take all things together,ဂြောပ်ဓလီု,"(v) warp, take all things together, encompass."
Take an oath,ဓိထာန်,"2 (n) [L.F] vow. [Var.] အဓိဋ္ဌာန် (n) [P. adhitthana] determination, resolve, swear, take an oath, vow to do a certain thing."
Take an oath of allegiance,ဒုၚ်သ္စာ,"(v) accept somebody’s patronage, take an oath of allegiance."
Take animals to a stream for a drink,ဖျေံဍာ်,"(v) take animals to a stream for a drink, launch a newly build boat or ship."
Take away,ဂိုၚ်,"1 (v) to grasp, to keep, to take, take away, put away.    အဲဂိုၚ်လွဳလဝ်ကောန်ကၞုဲ (v) I keep the baby monkey and reared it.    ခိုဟ်ရဂိုၚ်လဝ် ဆဂးစွံလဝ်ဗြာတ် (v) all right, take it away but have the plantains.    ချူဂိုၚ် (v) to {place on} record.    ဇုတ်လ္ပကၠဟ်ထောံညိ ဂိုၚ်လဝ်ကဵုအိုတ်ညိ (v) please do not throw the bones away, but keep them all.    ဍေံဂိုၚ်စပုၚ် (v) he took some rice ate it.    သီဂိုၚ် (v) to take possession of.    ၜိုပ်က္ၜၚ်ဂိုၚ်ကပ္ဍဲခၟဴ (v) the gull {Muscovy duck} was holding a fish in tis beak. [Cf.] ကေပ်၊ ကေံ(မ်)၊ ကြိုၚ်၊ ခံ(မ်)၊ စွံ(အ်)၊ ဒေပ်၊ ရပ်။    [Der.] ဂွိုၚ် (n) storage basket."
Take away from,နုက်,"(v) to subtract, take away from, take from or out off."
Take away our gear by force.  အတေၚ်။,အနိၚ်,ရပ်ဏာကပေါတ်ပိုဲအနိၚ် (n) take away our gear by force. [Cf.] အတေၚ်။
Take back,ကလေၚ်ရုပ်ထောံ,(v) take back.
Take back,နုက်သီ,"(v) take back, strip off {one’s rank. Etc.}."
Take between tow.  တြာပ်၊ တြာပ်နၚ်။,ကြာပ်,"1 (v) to press between two surfaces, press together, take between tow. [id] တြာပ်၊ တြာပ်နၚ်။"
Take blood pressure,ၜတ်ဇြဟတ်ဆီဂစာန်ထ္ပာ်,(v) take blood pressure.
Take bodily form,မံက်ရုပ်ရာ,"(v) take shape, be come distinct {of character}, appear in true colour, materialize, take bodily form, be come visible, appear."
Take bribe,စလာပ်,(v) take bribe.
Take care of,ဝဳပရာ,"(v) take care of, look after carefully, tend, to use diligence in tending, caring for."
Take charge,သ္ပဗဵု,"(v) wield authority, take charge, lead, boss around, lord it over."
Take charge,သ္ပဗိုဝ်,"(v) wield authority, take charge, lead, boss around, lord it over."
Take down,ပလှ်ဖျေံ,"(v) take down, dispose, dislodge, remove {from office}. [id] ဖျေံထောံ(အ်)။"
Take down,ဖျေံ,"(v) to lower, let down, put down, take down,  bring down, {honorific} to give, bestow, to lend."
Take down,ဖျေံဏာ,(v) take down.
Take flight,ပေက်,"2 (v) to run away, take flight, to flee, to be routed, to be dispersed."
Take for one's use,လပှ်ဂိုၚ်,"(v) to take and keep, take for one's use, take for oneself."
Take for oneself,လပှ်ဂိုၚ်,"(v) to take and keep, take for one's use, take for oneself."
Take for one’s use.    လပှ်ပ္ၚာန်  to pick up a plate.    လပှ်ဗ္စ  to adopt.    လပှ်မံၚ်စောၚ်ပ္ဍဲဖဴ  she is in the kitchen picking out grains of paddy form the rice,ဒပှ်,"2 (v) to pit up, pick out, to adopt. [id] လပှ်(ဟ်)။    နာဲကၠဵုလပှ်ဗ္စကောန်ၚာ်မွဲ (n) Nai Klaw has adopted a child. [Syn.] [Cf.] ထ္ၜ၊ ထ္ၜၚ်၊ လှ်(ဟ်)၊ ၜိုတ်။ [Var.] ကပှ်၊ လပှ်။    ကပှ်ကလှ် (v) to wave to and fro, to move.    လပှ်ကေတ် (v) to pick up.    လပှ်ကေတ်သၠုဲဒတုံစှ်ေဂှ် (v) picked up the money that had fallen on the floor.    လပှ်ဂိုၚ် (v) to take and keep, take for one’s use.    လပှ်ပ္ၚာန် (v) to pick up a plate.    လပှ်ဗ္စ (v) to adopt.    လပှ်မံၚ်စောၚ်ပ္ဍဲဖဴ (v) she is in the kitchen picking out grains of paddy form the rice."
Take for wrong conjecture.  ခယျထေၚ်ဗၠေတ်အာ။,ခယျကေတ်ဗၠေတ်အာ,(v) take for wrong conjecture. [id] ခယျထေၚ်ဗၠေတ်အာ။
Take from or out off,နုက်,"(v) to subtract, take away from, take from or out off."
Take heed,ထောံသ္တိ,"(v) take heed, take notice of."
Take hold of,ရပ်,"(v) to hold, to handle, take hold of, seize, catch, arrest, to be witch, to use to spend, to expend."
Take home,ဖျဴဏာသ္ၚိ,(v) take home.
Take i the arm.  မိန်ကေတ်။,ဗန်ကေတ်,"(v) to take in one’s arms, take i the arm. [id] မိန်ကေတ်။"
Take in,ပၠောပ်,"2 (v) to introduce, take in, inset, import, to produce, mount, provide, put into, to thrust in.    ပၠံၚ်ပၠောပ်ကျာ (n) bicycle pump.    ဗၞိက်ပၠောပ် (n) imported goods.   သၞာံအာတေံကောန်အဲသ္ပထပိုဲပၠောပ်ပေဲါၜါဗ္တံ (v) when my son became a novice last year, I had a public entertainment put on for two nights.    ၝပၠောပ်ဏာထ္ၜးကဵုကၠံပ္ကဴကဵုကောန်ၚာ်ဏံညိ (v) take this lad in and show him the garden. [Cf.] first sense, ပလုပ်။ second  sense, ဂဗဵု။"
Take in a snare.  ဒးဒၞက်။,လုပ်ဒးဒၞက်,(v) take in a snare. [id.] ဒးဒၞက်။
Take in charge,လျိုၚ်,"2 (n) assent, concern, responsibility, authority.    ဒုၚ်လျိုၚ် (v) to take responsibility, take in charge, be in charge, to give assent, to assume responsibility, to become surety.    ဒှ်လျိုၚ်အဲ(ယ်) (n) is my concern.    ဗိုဒုၚ်လျိုၚ် (n) officer in charge.    သ္ပလျိုၚ် (v) to authorize, give consent. [Var.] သ္ဇိုၚ်၊ အဝေါၚ်။"
Take in laundry,ရုပ်ယာတ်,"(v) to take in clothes that have been out to dry, take in laundry."
Take in satisfaction,သီကေတ်,"(v) to attach, take in satisfaction, to take one oneself, confiscate, seize, to take possession of."
Take in satisfaction of a debt,သီဂိုၚ်,"(v) to take possession, to take position, to attach {property} to take away, take in satisfaction of a debt, to take oneself, to take possession of, to put away."
Take in that has been out to dry.  ဂြ၊ ဖ္ၜောဝ်၊ သီ။,ရုပ်,"2 (v) to collect up {things put out to dry}, to take in anything that has been put out, as things to dry in the sun, take in that has been out to dry. [Cf.] ဂြ၊ ဖ္ၜောဝ်၊ သီ(မ်)။"
Take in the hand.  က္ၜတ်သ္ကေံ၊ သ္ကေံ။,စုတ်ပ္ဍဲသ္ကေံတဲ,(v) take in the hand. [id] က္ၜတ်သ္ကေံ(မ်)၊ သ္ကေံ(မ်)။
Take in the sense,လ္ၜောဲမတ်,"(v) look, view. {respectful learn used in connection with royalty or dignitaries} look meditatively at something, enjoy the view, take in the sense."
Take interest in,လ္ၚတ်,"2 (v) to study, to practise, to perform, to exercise, to train oneself, to investigate, wear away, acquire a habit, become accustomed to, take interest in, see into. [id.] ဂၠိုက်ဂၠာဲစၟဳစၟတ်။    သွက်ဂွံလ္ၚတ်ဂှ်ဍေံဟွံဂွံဖ္အိုတ်အခိၚ်ဍေံရ (v) he has not got all his time available for study. [Cf.] ကတ်၊ ပ္ကေၚ်၊ ဗ္တောန်။   [Der.] ၚ္ၚတ် (n) practice."
