English,Mon,Original_Definition
Gas that has no colour,ဟာ်ဒြဝ်ဂျိန်,"(n) {chem} Hydrogen, gas that has no colour, taste or smell and is the lightest substance known, combined with oxygen to form water."
Gas-bag,ကျာသၟး,"(n) talkative person, gas-bag, wind-bag."
Gash the throat of an animal,ရေက်ကံ,"(v) gash the throat of an animal, cut the throat off."
Gasoline,ကၠေၚ်ဓါတ်,"(n) petrol, gasoline."
Gasoline,ဓါတ်,"ကၠေၚ်ဓါတ် (n) petrol, {Am.} gasoline."
Gate,တရၚ်,"(n) doorway, door, gate."
Gate,တရၚ်,"ပါၚ်တရၚ် (n) gate, gateway, doorway."
Gate,တြၚ်,"ပါၚ်တြၚ် (n) gate, gateway, doorway."
Gate,ပါၚ်တရၚ်,"(n) door, gate, doorway."
Gate way,ကၚ်ၚာၚ်,"(n) gate way, guard, fighting patrol."
Gate.  ပါၚ်တရၚ်။  ပါၚ်ဝေၚ်။,ပါၚ်ဒပ်,(n) gate. [Cf.] ပါၚ်တရၚ်။ [Syn.] ပါၚ်ဝေၚ်။
Gate.  ပါၚ်ဒပ်။,ပါၚ်ဝေၚ်,(n) gate. [Cf.] ပါၚ်ဒပ်။
Gatehouse.  သ္ၚိဒၞာဲစၟဳစၟတ်ဂၠိုက်ဂၠာဲမၞိဟ်လုပ်တိတ်။,သ္ၚိဂလာန်,"(n) watch, tower, gatehouse. [id.] သ္ၚိဒၞာဲစၟဳစၟတ်ဂၠိုက်ဂၠာဲမၞိဟ်လုပ်တိတ်။"
Gateway,ကရၚ်,"1 (n) doorway, door. [id] တရၚ်။    တၟာတ်တရၚ် (v) to close, bar, lock the door.    ဒမုၚ်တရၚ် (n) threshold.    ဒဝ်တရၚ် (v) to shut the door.    ပံက်တရၚ် (v) to pone the door.    ပါၚ်တရၚ် (n) gate, gateway, doorway.    သၠတရၚ် (n) {leaf of} door."
Gateway,တရၚ်,"ပါၚ်တရၚ် (n) gate, gateway, doorway."
Gateway,တြၚ်,"ပါၚ်တြၚ် (n) gate, gateway, doorway."
Gateway to a pagoda,မုက်အတှ်,"(n) gateway to a pagoda, decorated archway."
Gather fuel,ဒ္ၚဳအှော်,"(v) to search for, gather fuel."
Gather honey from bee hives,ရိုဟ်သာဲ,(v) gather honey from bee hives.
Gather in the arms,မိန်,"3 (v) lift, carry or hold up in one's arms, with things gathered in arms, hug, embrace, gather in the arms, to gather in the arms {as grass}, to carry in one's arm, clasp to one's body, to gather with the arms, particle used to represent certain Pali cases. [Cf.] ကဝ်၊ ခွက်၊ စ္ၚိန်၊ စၟာဲ(ယ်)၊ ဂၠေၚ်၊ တ္ၚိန်၊ ဒယိုန်၊ ဒလိၚ်၊ ဗရ၊ ဗာ၊ ဗန်၊ ယိုက်၊ ယဵု(ဝ်)၊ လေၚ်၊ သွက်။"
Gather in the eyes.  teardrop.  ဍောၚ်ဍာ်ရမတ်။,ဍာ်ရမတ်ကောံကလောံကၠုၚ်,(v) {tears} gather in the eyes. (n) teardrop. [id] ဍောၚ်ဍာ်ရမတ်။
Gather momentum,အသိၚ်,"ကေတ်အသိၚ် (v) gather momentum, collect oneself."
Gather round,ကောံကလောံကၠုၚ်,(v) gather round.
Gather strength.  ပထတ်ဇကု၊ ပ္ကောံဓတ်၊ ပ္ကောံဇြဟတ်။,လွဳဓတ်,(v) gather strength. [id.] ပထတ်ဇကု၊ ပ္ကောံဓတ်၊ ပ္ကောံဇြဟတ်။
Gather together,တက်က္ဍိုပ်,"(v) form a group, gather together."
Gather up,သီ,"2 (v) gather up, to collect {up}, tidy away, to bring to a conclusion, to gather up, to take up.    ပ္ၚာန်ပြးဒၟံၚ်ပ္ဍဲဖဴတံဂှ်သီထောံညိ (v) will you collect up the plates that are lying about the kitchen.    ရုပ်သီ (v) to collect up {thing put out to dry}. [Cf.] ခအုံ(မ်)၊ ဂြ၊ ရုပ်၊ သ္ဗဝ်။"
Gather up,သိမ်,"2 (v) gather up, to collect {up}, tidy away, to bring to a conclusion, to gather up, to take up.    ပ္ၚာန်ပြးဒၟံၚ်ပ္ဍဲဖဴတံဂှ်သီထောံညိ (v) will you collect up the plates that are lying about the kitchen.    ရုပ်သီ (v) to collect up {thing put out to dry}. [Cf.] ခအုံ(မ်)၊ ဂြ၊ ရုပ်၊ သ္ဗဝ်။"
