English,Mon,Original_Definition
Candle power,ဇြဟတ်ပၞာၚ်,(n) candle power.
Candle.  ပၞာၚ်။    ခုၚ်ပၞာၚ်  candle-stick.    ဆုပၞာၚ်သေံ  pine,နာၚ်,"3 (n) {colloq} candle. [id] ပၞာၚ်။    ခုၚ်ပၞာၚ် (n) candle-stick.    ဆုပၞာၚ်သေံ (n) pine, Pinus merkusii Jungholtz. [Syn.] ခရုဲ၊ ပြုဲ။    ပၟတ်ပၞာၚ် (n) light of candle."
Candlestick,ခုၚ်ပၞာၚ်,(n) candlestick.
Cane,တၞံၜဝ်,"(n) cane, rattan, ratan. [Syn.] ဇုက်ၜဝ်၊ ၜဝ်။"
Cane,လေံၜဝ်,"(n) cane, cane stick, stick of a cane."
Cane crusher,ဟတ်တွိုဟ်,"(n) cane crusher, cotton gin."
Cane etc.    အဲကဵုဍုၚ်မွဲကရေက်  i will give half of my kingdom.    ကဵုအဲစမွဲကရေက်ညိကီု  give me a bit .    ဂတဵုဏံညံၚ်ဂွံဒှ်ၜါကရေက်ဂတေက်လဝ်  saw this board into two pieces.    စက္ခူမွဲကရေက်  a sheet of paper.  ကပါ်၊ ကဝက်၊ ကဝါ်၊ ကၞး၊ ခတဵု၊ ခတှ်ေ၊ ဂတဵု၊ ဂတှ်ေ၊ တၞး၊ ထေဝ်၊ ဘာ်။,ကရေက်,"1 (n) part, split of, slat, flat piece, sheet, piece, half.    (v) to divied. [num. aux.] with split things as bamboo, cane etc.    အဲကဵုဍုၚ်မွဲကရေက် (n) I will give half of my kingdom.    ကဵုအဲစမွဲကရေက်ညိကီု(မ်) (v) give me a bit {of fig}.    ဂတဵုဏံညံၚ်ဂွံဒှ်ၜါကရေက်ဂတေက်လဝ် (n) saw this board into two pieces.    စက္ခူမွဲကရေက် (n) a sheet of paper. [Cf.] ကပါ်(က်)၊ ကဝက်၊ ကဝါ်(က်)၊ ကၞး၊ ခတဵု(ဝ်)၊ ခတှ်ေ၊ ဂတဵု(ဝ်)၊ ဂတှ်ေ(ဟ်)၊ တၞး၊ ထေဝ်၊ ဘာ်(က်)။"
Cane or similar material.  ကၟိန်  plaited work,တာန်,"3 (v) to plait, twill, of bamboo, cane or similar material. [Der.] ကၟိန် (n) plaited work."
Cane stick,လေံၜဝ်,"(n) cane, cane stick, stick of a cane."
Cane sugar,ကဝ်,"1 (n) coarse sugar, viscid substance, pulp, paste, glue, syrup, residue obtained by evaporation. [id] ထၜိုတ်။    ကဝ်ကၠောန်စက္ခူ (n) paper pulp.    ကဝ်တာ (n) coarse sugar prepared from Palmyra sap, jiggery.    ကဝ်ဗာတ် (n) sandpaper.    ကဝ်လပှ်(ဟ်) (v) to break off. [Cf.] တကောတ်။    ကဝ်ၜဴ (n) molasses, cane sugar, coarse sugar made from sugarcane, brown slab-sugar made from sugarcane."
Cane sugar,ကဝ်ၜဴ,"(n) molasses, cane sugar, coarse sugar made from sugarcane, brown slab-sugar made from sugarcane."
Cane sugar,သ္ကဝ်ၜဴ,"(n) cane sugar, molasses. [Cf.] ကဝ်ၜဴ။"
Cane-ball,ရဴ,"1 (n) openwork basket, crate, cane-ball, basket football.    တေံရဴ (n) to play cane-ball."
Cane.    ဇုက်ၜဝ်  rattan.  တၞံၜဝ်။  တ္ၜဝ်။,ၜဝ်,"2 (n) rattan, cane.    ဇုက်ၜဝ် (n) rattan. [id.] တၞံၜဝ်။ [Var.] တ္ၜဝ်။"
Cangue,ဂါ,"1 (n) cangue, a clog put upon the necks of criminals."
