English,Mon,Original_Definition
Saltpeter,အိန္နသဳ,"(n) nitre, petre, saltpeter, potassium nitrate. [id] ဣန္နသဳ။"
Saltwater,ဖနုၚ်,ဍာ်ဖၞုၚ် (n) saltwater.
Saltwater.  ဖၞုၚ်။,ဖနုၚ်,"(n) saltiness, saltwater. [id] ဖၞုၚ်။"
Salty.  မနွံကဵုရှ်ၜဵု၊ မနွံကဵုၜဵု။,မပ္ဍုၚ်,(adj) salty. [id] မနွံကဵုရှ်ၜဵု၊ မနွံကဵုၜဵု။
Salutation,ပဏာမ,"(n) act of obeisance, the beginning of the first part of a speech, song, book, etc. bending, salutation, magnitude, extent. [ia] (adj) မှုဲ။"
Salutation,ဝန္ဒနာ,"(n) salutation, homage."
Salvation.  ဒဒှ်မဟံၚ်ပြာ်ပ္တိုန်ကောန်မၞိဟ်နူကဵုဒုဟ်ဒုစရိုတ်၊ ဒဒှ်မဟံၚ်ပြာ်ဗလး။,ဒဒှ်မဟံၚ်ပြာ်,"(n) redemption, salvation. [id] ဒဒှ်မဟံၚ်ပြာ်ပ္တိုန်ကောန်မၞိဟ်နူကဵုဒုဟ်ဒုစရိုတ်၊ ဒဒှ်မဟံၚ်ပြာ်ဗလး။"
Salver,ထး,"(n) brass tray, salver, on which curry bowls are sometimes laid out."
Samanea,ဓိတာန်,"1 (n) sal tree, kind of tree, Albizzia lebbek,  rain tree, Samanea, shorea robusta Roxburgh. [id] တၞံဓိတာန်။"
Sambhur deer,တ္ၜိုၚ်,"1 (n) species of large deer, sambhur deer, Rusa unicolor equines. [id] ၜိုၚ်။ [Cf.] ဒြာဲ၊ ပှ်၊ ပှ်ေ၊ မၚ်။"
Sambur deer,ၜိုၚ်,"1 (n) a species of large deer, sambur deer, Rusa unicolor equinus. [Cf.] ဒြာဲ(ယ်)၊ ပှ်(ဟ်)၊ ပှ်ေ(ဟ်)၊ မၚ်။ [Var.] တ္ၜိုၚ်။"
