English,Mon,Original_Definition
Kettle-holder.  ဃာတ်သၞာတဲ။,သၞာစးချေံ,"သၞာတဲ(ယ်) (n) napkin, holder, kettle-holder. [id.] ဃာတ်သၞာတဲ(ယ်)။"
Key,ကသအ်,"(n) lock, key, winding key, stopper, cork. [id] က္သံ(အ်)၊ ကောန်က္သံ(အ်)၊ ကောန်ပၞံက်။ ကောန်က္သံ(အ်) (n) key.    ၝောံက္သံ(အ်) (n) lock. [Cf.] first sense, ပၞံက် second sense, တၚ်။ [Syn.] second sense, တၟာတ်။ [Var.] သံ(အ်)။    [Der.] ချံ(အ်) (v) to insert.    က္သံနာဍဳ (n) key of clock.    က္သံပလၚ် (n) crock, stopper {of bottle}."
Key,ကသံ,"1 ကသံ(အ်) (n) lock, key, winding key, stopper, cork. [id] က္သံ(အ်)၊ ကောန်က္သံ(အ်)၊ ကောန်ပၞံက်။     ကောန်က္သံ(အ်) (n) key.    ၝောံက္သံ(အ်) (n) lock. [Cf.] first sense, ပၞံက် second sense, တၚ်။ [Syn.] second sense, တၟာတ်။ [Var.] သံ(အ်)။    [Der.] ချံ(အ်) (v) to insert.    က္သံနာဍဳ (n) key of clock.    က္သံပလၚ် (n) crock, stopper {of bottle}."
Key,ကောန်ပၞံက်,(n) key.
Key,ကောန်ပၞံက်,"(v) bolt, key."
Key,ချံ,"ချအ် (v) to insert, to put into. [Cf.] ချတ်၊ စုတ်၊ ဆံ(အ်)၊ ဆံစုတ်၊ ထ္ပက်၊ ပြိုက်၊ ပြိုက်စုတ်၊ ပၠောပ်၊ လံၚ်စုတ်။ [Der.] ကသံ(အ်) (n) lock, key, stopper."
Key,ဆံ,"ဆအ် (v) to inset. [id] ချံ(အ်)။ [Cf.] ဆတ်၊ ထ္ပက်၊ ပြိုက်။ [Der.] က္သံ(အ်) (n) lock, key, stopper."
Key,ပဏံက်,"ကောန်ပၞံက် (n) bolt, key."
Key,ပနံက်,"ကောန်ပၞံက် (n) bolt, key."
Key,ပၞံက်,"(n) bolt, key."
Key,ပၞံက်,"ကောန်ပၞံက် (n) bolt, key."
Key,သံ,"(n) lock, key."
Key,သအ်,"(n) lock, key."
Key of clock.  က္သအ်နာဍဳ။,က္သံနာဍဳ,(n) key of clock. [id] က္သအ်နာဍဳ။
Key point,တၚ်ပၞံက်,"(n) key point, crux, linchpin. [id] တၚ်ဂမ္စိုတ်။"
Key stone of an arch,တၟံမုက်ကၠာ်,(n) key stone of an arch.
Key witness,သက်သဳအပ္ဍဲ,(n) key witness.
Key.  ကောန်ပၞံက်။,ကောန်က္သအ်,ကောန်က္သံ(အ်) (n) key. [id] ကောန်ပၞံက်။
Key.  ပၞံက်။,ပဏံက်,"(n) blot, key. [id] ပၞံက်။"
Key.  ပၞံက်။,ပနံက်,"(n) bolt, key. [id] ပၞံက်။"
Keyboard,ခုၚ်မံၚ်စက်တက်လိက်,(n) keyboard.
Keyhole,ခမောၚ်,ထၟောၚ်ပၞံက် (n) keyhole.
Keyhole,ထမောၚ်,ထၟောၚ်ပၞံက် (n) keyhole.
Keyhole,ထၟောၚ်ပၞံက်,(n) keyhole.
Keyhole,ပဏံက်,ပထောၚ်ပၞံက် (n) keyhole.
Keyhole,ပၞံက်,ထမှောၚ်ပၞံက် (n) keyhole.
Keyhole,ပၞံက်,ထၟောၚ်ပၞံက် (n) keyhole.
Keyhole.  first sense,ပနံက်,"ထၟောၚ်ပၞံက် (n) keyhole. [Cf.] first sense, ဂလာတ်၊ တလာတ်၊ သၞောဝ်။ second sense, က္သံ(အ်)၊ သံ(အ်)။"
Keynote.   ပ္ကိတ်ရမျှာၚ်၊ ချိၚ်ရမျှာၚ်။,လၟေၚ်ရမျှာၚ်သဝ်သၠုၚ်ပ္ဍဲကွိၚ်ကွိုက်တိၚ်တိုက်,(n) keynote. (v) [id.] ပ္ကိတ်ရမျှာၚ်၊ ချိၚ်ရမျှာၚ်။
Khasi,ခါသဳ,"1 (n) Khasi, people of Khasi and Jaintia Hills area in Assam, speaking a kind of Mon-Khmer language."
Kick,ထၞိက်,"2 (v) kick, to hit {something} with the foot."
Kid,ကောန်ဗ္ၜေံ,"(n) kid, young goat."
Kidnapper.  မၞိဟ်ရပ်တံၚ်မၞိဟ်တုဲအာတ်သၠုဲ။,မၞိဟ်ရပ်တံၚ်မၞိဟ်တုဲအာတ်သြန်,(n) kidnapper. [id.] မၞိဟ်ရပ်တံၚ်မၞိဟ်တုဲအာတ်သၠုဲ(ယ်)။
Kidney,ကောန်ကၟအ်,"(n) kidney, heart."
Kidney,ကောန်ကၟံ,"ကောန်ကၟအ် (n) kidney, heart."
Kidney,ကောန်တၟံ,"(n) kidney, heart."
Kidney,ကၟံ,"4 ကၟံ(အ်) (n) kidney, heart. [id] တၟံ(အ်)၊ ကောန်တၟံ(အ်)။    ဖျုန်ကောန်တၟံ(အ်) (n) heart."
Kidney,စွက်ဂြိုဟ်,(n) kidney.
Kidneys,ကၟက်ဂြိုဟ်,(n) kidneys.
Kidneys.  ကၟက်ကြုတ်။,စဝက်,စွက်ဂြိုဟ် (n) kidneys. [Syn.] ကၟက်ကြုတ်။
Kidneys.  စွက်ဂြိုဟ်။,ကဝက်ဂြိုဟ်,(n) kidneys. [id] စွက်ဂြိုဟ်။
Killer,မၞိဟ်ဂစိုတ်,(n) killer.
Killing,မဒှ်သွက်ဇွောံဂြိုၚ်ဝေၚ်ခိုဟ်,(adj) killing.
Killing,မာရဏ,"(n) [P.] killing, slaughter, death."
Kilm,လ္တိုၚ်ဂေါ်,(n) kilm.
Kiln,က္တိုၚ်ဂေါ်,က္တိုၚ်ဂေါ်(က်) (n) kiln.
Kiln.  ကတိုၚ်ဂေါ်။,ဂေါ်,1 (n) kiln. [id] ကတိုၚ်ဂေါ်။
Kilo,ကဳလဝ်,(n) [Eng.] kilo.
Kilo hertz,ကဳလဝ်ဟာတ်,(n) [Eng.] kilo hertz.
Kilo watt,ကဳလဝ်ဝါတ်,(n) [Eng.] kilo watt.
Kilogram,ကဳလဝ်ဂရာမ်,(n) [Eng.] kilogram.
Kilometer.  လ္ၚီမဳတာ။,ကဳလဝ်မဳတာ,(n) [Eng.] kilometer. [id] လ္ၚီမဳတာ။
