English,Mon,Original_Definition
Baliospermum axillare blume,ခဍာ,"3 [id] ခ္ဍာ။    ခ္ဍာဝ (n) a kind of shrub, Baliospermum axillare Blume, the seeds of which are used as a laxative."
Balk တေံညိ။,baulk,ရံၚ် balk တေံညိ။
Ball,ဗဝ်,"1 (n) ball, football.    တေံဗဝ် (n) to kick a ball, play foot ball.    ပေဲါဗဝ် (n) football match."
Ball ,သတ်ဗလဳ,(n) ball {obsolete}.
Ball windless or capstan,ကရောဲ,"2 (n) top.    ၜံက်ကရောဲ (v) to spin a top, ball windless or capstan."
Ball-point,တဝ်မှၚ်ဗဝ်ပိန်,"(n) ball-point, ball-point pen. [Syn.] တဝ်ကၞေဟ်။"
Ball-point pen   တဝ်မှၚ်ဗဝ်ပိန်။  ၂။  ပေဲါသဘၚ်လှ်ေဍုၚ်ပလိုတ် သဘၚ်လှ်ေဗုတ်။,ball,"n.  မခ္ဍံကျာ၊  ဗဝ်၊  ဗဵု၊  ကရောဲ၊  သတ်ဗလဳ၊  မဗလဳ(စုတ်ပ္ဍဲတဝ်မှၚ်)။  ball-point, ball-point pen (n)  တဝ်မှၚ်ဗဝ်ပိန်။  ၂။  ပေဲါသဘၚ်လှ်ေဍုၚ်ပလိုတ် (colloq.)သဘၚ်လှ်ေဗုတ်။"
Ball-point pen.  တဝ်ကၞေဟ်။,တဝ်မှၚ်ဗဝ်ပိန်,"(n) ball-point, ball-point pen. [Syn.] တဝ်ကၞေဟ်။"
Balloon,ဂီု,"1 ဂိုမ် (n) balloon, hot air balloon, lamp, lantern, a fire balloon."
Ballot,ဆန္ဒမာဲ,"(n) vote, ballot."
Ballot,တၞးမာဲ,(n) ballot.
Ballot,မာဲ,"2 မာဲ(ယ်) (n) anything used in casting lots, vote, ballot, lot, offering made to monks at end of Lent and distributed by lot among those assembled.    စုတ်မာဲ(ယ်) (v) to cast one's vote.    ထောံမာဲ(ယ်) (v) to cast lots. [id.] ပျေံမာဲ(ယ်)။    ရုဲမာဲ(ယ်) (v) to vote, hold an election."
Ballot,မာဲဆန္ဒ,"(n) vote, ballot."
Ballot box,တလာမာဲ,(n) ballot box.
Balm,ကၠေၚ်ပရုတ်,"(n) camphor ointment, camphorated oil, balm."
Balm. camphorated oil,ဗာံ,ဗာမ် (n) {Eng.} balm. Camphorated oil.
Balm. camphorated oil,ဗာမ်,(n) {Eng.} balm. Camphorated oil.
Bamboo,ဒုန်,"1 (n) bamboo, bamboo plant, length of bamboo.    တၞံဒုန် (n) bamboo plant.    တၟဵုဒုန် (n) clump of bamboos.    ရေန်ဒုန် (n) to trim the end of a bamboo.    လိုန်ဒုန် (n) to walk on bamboo."
Bamboo,ဝေလု,(n) [P.] bamboo.
Bamboo,သၞာ,"1 (n) mat, bamboo, mat.    လးသၞာ (v) to put down one's mat.    သ္ကဝ်သၞာ (n) mats. [Cf.] ကပ်၊ ကၟဝ်၊ ခေါဇဴ၊ သ္ကဝ်။ [Var.] နှာ။    [Der.] သာ (v) to spread out."
Bamboo bobbin on to which spin yarn is wound.    တောဝ်ဓရာ  spool of thread.  ခရာ၊ ဒရ။     ဓရာ  to spin.     ဓရာ  bobbin.  ဒရာ။,ဓရာ,1 (n) bamboo bobbin on to which spin yarn is wound.    တောဝ်ဓရာ (n) spool of thread. [Syn.] ခရာ၊ ဒရ။    [Der.] ဓရာ (v) to spin.    [Der.] ဓရာ (n) bobbin. [Syn.] ဒရာ။
Bamboo bobbin on to which spun yarn is wound to ဂရဴ spool of thread.  ခရဴ၊ ဒရဴ။,ဂရဴ,1 (n) bamboo bobbin on to which spun yarn is wound to ဂရဴ spool of thread. [Var.] ခရဴ၊ ဒရဴ။
Bamboo bobbin on to which spun yarn is wound.    တောဝ်ဒရာ  spool of thread.     ခရာ  to spin.  ဒရာ။,ဒရာ,"1 (n) spool, bamboo bobbin on to which spun yarn is wound.    တောဝ်ဒရာ (n) spool of thread.    [Der.] ခရာ (v) to spin. [id] ဒရာ။"
Bamboo chick.  ဂၟုဟ်။    ကွဝ်ဂၟုဟ်  to make bamboo chicks.  ကၟုဟ်။,ဂမုဟ်,1 (n) bamboo chick. [id] ဂၟုဟ်။    ကွဝ်ဂၟုဟ် (v) to make bamboo chicks. [Var.] ကၟုဟ်။
Bamboo clapper.  ခဍာပ်။     ထ္ၜး  bamboo cymbal,ခ္ဍာပ်,2 (n) bamboo clapper. [id] ခဍာပ်။    [Var.] ထ္ၜး (n) bamboo cymbal.
Bamboo clapper.  ခ္ဍာပ်။  ထ္ၜး  bamboo cymbal,ခဍာပ်,2 (n) bamboo clapper. [id] ခ္ဍာပ်။ [Var.] ထ္ၜး (n) bamboo cymbal.
Bamboo clappers used in orchestra,ခရာပ်,(n) bamboo clappers used in orchestra.
Bamboo clappers.  ထ္ဍာပ်။  ထ္ၜး။,ထဍာပ်,(n) bamboo clappers. [id] ထ္ဍာပ်။ [Var.] ထ္ၜး။
Bamboo culm,ကၞဟ်,"3 (n) [id] တၞဟ်။    တၞဟ်ဒုန် (n) bamboo culm, node of bamboo."
Bamboo drinking tube,ဂရတ်,"2 (n) bamboo drinking tube, drink-straw, pump. [Der.] ဇြတ် (v) to suck."
Bamboo float to which baited line is attached for fishing.  ပၞံၚ်။,ပဏံၚ်,"(n) float, bamboo float to which baited line is attached for fishing. [id] ပၞံၚ်။"
Bamboo float to which baited line is attached for fishing.  ပၞံၚ်။,ပနံၚ်,"(n) float, bamboo float to which baited line is attached for fishing. [id] ပၞံၚ်။"
