English,Mon,Original_Definition
Raised alcove in monastery containing images and altar,ခါန်,"5 (n) ခါန်ကျာ် (n) raised alcove in monastery containing images and altar, at which devotions are performed. [Cf.] ကယျောၚ်ကျာ်၊ ဘုတ်၊ သိၚ်ကျာ်၊ သ္ၚိကျာ်။"
Raised central part of building surrounded by lower structures,ကၠတ်,"1 (n) raised central part of building surrounded by lower structures, ornamental roof of monastery or palace, control part of a building having lower floors round it.    သ္ၚိကၠတ် (n) building with raised central portion.    ၝောံကၠတ် (n) raised central part of such a building. [id] ကၠတ်ဇၞော်(က်)။"
Raised central part of building surrounded by lower structures,ၝောံကၠတ်,(n) raised central part of building surrounded by lower structures.
Raised mound formed by village site in low lying areas.  တ္ကံ။    တ္ကံဆက်တိတ်  peninsula.    တ္ကံနရက်  hot spring .    တ္ကံပရံၚ်  land,ကံ,"2 ကအ် (n) island, raised mound formed by village site in low lying areas. [id] တ္ကံ(အ်)။    တ္ကံဆက်တိတ် (n) peninsula.    တ္ကံနရက် (n) hot spring {of sulphur}.    တ္ကံပရံၚ် (n) land, village site, not subject to flooding. [Cf.] foll.    တ္ကံၜတ် (n) land, village site, subject to seasonal flooding. [Cf.] (prec.) {place-names} တ္ကံကြိက် (n) Takoh kroik {Bur, Kaw kareik}.    တ္ကံခၟိုၚ် (n) Takoh khamaing {Bur. Bilugyun}. တ္ကံဂၞေံ(အ်) (n) Takoh gaenih {Bur. kawkhani}.    တ္ကံဍောတ် (n) Takoh dtoot {Bur. Kawdut}.    တ္ကံနှာတ် (n) Takoh hnart {Bur. Kawhnat}.    တ္ကံဗန် (n) Takoh been {Bur. Kawbein}.    တ္ကံသိၚ်ဃဵု(ဝ်) (n) Takoh soing ghay, Ceylon.    တ္ကံဟံသာ (n) Takoh pbop pbang {Bur. Hinthakyun}. [id] တ္ကံၜိုပ်ၜၚ်။ [Cf.] ကံ(အ်)။"
Raised mound formed by village site in low-lying areas,လကံ,"လကအ် (n) island, raised mound formed by village site in low-lying areas, a piece of ground that is at any time surrounded by water. [id.] လ္ကံ(အ်)၊ တ္ကံ(အ်)။"
Raised mound formed by village site in low-lying areas,လကအ်,"(n) island, raised mound formed by village site in low-lying areas, a piece of ground that is at any time surrounded by water. [id.] လ္ကံ(အ်)၊ တ္ကံ(အ်)။"
Raised mound formed by village site in low-lying areas.  တ္ကံ။,တကံ,"တကအ် (n) island, alluvial land, raised mound formed by village site in low-lying areas. [id] တ္ကံ(အ်)။"
Raised path or standing,ဂၞၚ်,"(n) bund, ridge, between compartments. [Var.] ခံက် of paddy-field, raised path or standing, hard standing round well, compartment of paddy-field as, measure of area. [id] ဗၞၚ်။"
Raised path or standing,နေၚ်,"5 (n) {colloq} ဗၞေၚ် (n) bund, ridge between compartment, raised path or standing, hard standing round well, compartment of paddy-field as measure of area.    ဇိုၚ်ဗၞေၚ် (n) paddy bund. [id] ဇုက်ဗၞေၚ်။    ဗၞေၚ်သၟိၚ် (n) standard measure.    [Der.] ခနေၚ် (n) threshing floor. [id] ဗၞၚ်။"
Raised path or standing,ဗၞၚ်,"2 (n) bund between compartments, ridge between compartments, ခံက် of paddy-field, raised path or standing, hard standing round well, compartment of paddy-field as measure of area.    ဇုက်ဗၞၚ် (n) paddy bund. [id] ဇိုၚ်ဗၞၚ်။    [Der.] ဂၞၚ် (n) threshing-floor. [Var.] ခနၚ်။"
Raised wooden trough filled with earth or sand on which cooking-fire is lit,ဖဴ,"1 (n) raised wooden trough filled with earth or sand on which cooking-fire is lit, hearth, furnace, kitchen, {at the} home {of} in the company of a fire place, a stove, a forge.    ဍေံစုတ်လဝ်ပၟတ်လ္တူဖဴ (n) he made a fire on the hearth.    မိဗ္ဂပ်မံၚ်သွပ္ဍဲဖဴ (n) mother is in the kitchen preparing curry. [Cf.] third sense, ဍဲ(ယ်)။    ဖဴအရက် (n) still, distillery.    ဖဴကျာ (n) air pressure stove, primus stove, bellows.    ဖဴကၠောန်ကွာၚ် (n) bakery.    ဖဴကွာၚ် (n) oven.    ဖဴထိၚ်ဒဝ်ဓါတ်နျူကလဳယျ (n) nuclear pile, nuclear reactor.    ဖဴပ္သဲ (n) iorn stove.    ဖဴပၠေဲ (n) griddle, open fire place,  brazier, charcoal brazier, used [esp.] in Siam.    ဖဴၜဵု (n) a salt-pan, a slattern."
Raisin.  သတ်အၚ္ၚုန်ကှ်ကှ်။,သတ်မုဒြာတ်ကှ်ကှ်,(n) raisin. [id.] သတ်အၚ္ၚုန်ကှ်ကှ်(ဟ်)။
Raising ground.  ခအုံ၊ ခအုဟ်၊ ထအုဟ်၊ ဗဝ်။,ဒအုဟ်,တိဒအုဟ်ဒအုဟ် (n) raising ground. [Var.] ခအုံ(မ်)၊ ခအုဟ်၊ ထအုဟ်၊ ဗဝ်။
Raising ground.  ခအုံ၊ ခအုဟ်၊ ထအုဟ်၊ ဗဝ်။,ဓအုဟ်,တိဓအုဟ်ဓအုဟ် (v) raising ground. [Cf.] ခအုံ(မ်)၊ ခအုဟ်၊ ထအုဟ်၊ ဗဝ်။
Raja,ရာဇ,"(n) [P.] king, ruler, monarch, sovereign, Raja."
Rake,ခရး,"(n) toothed implement, harrow, rake, comb, comb of bananas. [id] ဂရး။"
Rake,ဂရး,"(n) comb, toothed implement, harrow, rake, comb of bananas."
