English,Mon,Original_Definition
I believe,သေၚ်,"1 (v) {usually neg. not} to be the case. {1} negating nominal sent or (v) in adverbial construction or rejecting proposition.    ဣဏံပလောံအဲဟွံသေၚ် (v) this is not my shirt.    ကောန်ပၞာန်ဟွံသေၚ် (v) he is not a soldier.    ဇုက်လာဲအာဟွံသေၚ် ထပိုတ်လဝ်ကဵုမြဏောၚ် (v) the rope did not give way, you can see it was cut with a sword.    ညိဟွံသေၚ် (adv) in no small degree.    ဍေံရဲရေဝ်အဲထေၚ်၊ ဟွံသေၚ် (v) he is from Rie, I believe, he is not.    တဴရဴလျးဂှ်ထဝ်ဖ္အိုတ်ဟွံသေၚ် (v) not every shining thing is gold. {2} (ဟွံ)သေၚ်ဟာ inviting support of statement.    ညးဂှ်ဇမၞော်ကွာန်သေၚ်ဟာ (v) he is the headman, isn't he?"
I borrowed money and they foreclosed,ညး,ကေတ်လဝ်သြန်ညး ညးသီကေတ်ထောံ (pron.) I borrowed money and they foreclosed.
I bought a length of cloth,ရာန်,အဲရာန်ယာတ်မွဲအုပ် (v) I bought a length of cloth.
I bump my leg on a rock.  ခ္ဍိၚ်၊ ဂရိတ်၊ ဂၠိန်၊ ဗဗတ်၊ သရိတ်။,ဒဗတ်,ဇိုၚ်အဲဒဗတ်ဒးကဵုတၟံ(အ်) (v) I bump my leg on a rock. [Cf.] ခ္ဍိၚ်၊ ဂရိတ်၊ ဂၠိန်၊ ဗဗတ်၊ သရိတ်။
I bumped my leg on a rock.  ဂရိတ်၊ ဂၠိန်၊ ထ္ဍိၚ်၊ ဒဗတ်။,ဗဗတ်,ဇိုၚ်အဲဗဗတ်ဒးကဵုတၟံ(အ်) (v) I bumped my leg on a rock. [Cf] ဂရိတ်၊ ဂၠိန်၊ ထ္ဍိၚ်၊ ဒဗတ်။
I burnt my mouth eating a chilli,ရိၚ်,အဲရိၚ်မြေက် (v) I burnt my mouth eating a chilli
I can do it.    အဲစိုပ်သ္ၚိတုဲအဲဍုန်စရ  i shall cook when i get home.    ကောအဲအ္စာဘာရ  my brother is a school master.    ဂၠုၚ်လမုရ  it is lamu's canoe.    ဆအယာံမာတ်ညးစိုပ်ကၠုၚ်ရဂှ်အဲဂွံတီ  although he had arrived,ရ,"2 (ps) particle of unqualified assertion. (v.a) assertive. Closing the sentence, in questions It precedes the interrogative particle also used with the imperative.    အမှုဗှ်ေညးတံဖျုဲထောံတ္ၚဲဣရဟာ (v.a) have they adjourned your case?    ဨကဂှ်ဇွောံဂွံၜတ်သၠဲရ (v.a) the acre is a measure of area.    ဣဂှ်ရထၟိၚ်က္ဍိုပ်အဲ(ယ်) (v.a) that is my turban!    ဣဏံမတ်ဗိုတ်ဇေတ်ဇေတ်ရဟာ (v.a) is this a genuine diamond?    အဲကၠောန်ဣဂှ်မာန်ချိုတ်ပၠိုတ်ရ (v.a) certainly, I can do it.    အဲစိုပ်သ္ၚိတုဲအဲဍုန်စရ (v.a) I shall cook when I get home.    ကောအဲအ္စာဘာရ (v.a) my brother is a school master.    ဂၠုၚ်လမုရ (v.a) it is Lamu's canoe.    ဆအယာံမာတ်ညးစိုပ်ကၠုၚ်ရဂှ်အဲဂွံတီ(မ်) (v.a) although he had arrived, I did not know he had. In emphatic use sometimes follows word or phr. In initial prominence position.    ဆဗ္ၜေံဇိုၚ်ကဝ်ဏံရ အဲကဵုဗှ်ေမာန် (v.a) I can only give you this goat with the broken leg.    ညးတံသိုၚ်လဝ်ရုၚ်ဂဥုဲရ (v.a) they built a hospital.    ဍေံကၠုၚ်ရ (v.a) he has come.    ဍေံချူတုဲဣရ (v.a) he has finished writing it.    ဍုၚ်ဂလာကဵုဍုၚ်မန်ပၟာ ပါ်ထောံဂှ်မူစဳသၞာံရရော (v.a) how many years ago was Burma separated from India?    ဍေံတံမာန်မံၚ်ရ (v.a) they keep on winning.    တိခိုဟ်မ္ဂးတိတ်မံၚ်ကီုရ (v.a) if the land is good you do get that much yield.    ပိုဲဂွံရမၞိဟ်ဇၞးကျာံဂှ်(ဟ်) (v.a) we have got somebody to take on the crocodile.    ဗှ်ေပတှ်ေဂလာန်ကျာ်မ္ဂးဗှ်ေဗၠးဒဒိုက်ရ (v.a) if you heed the words of Buddha you will be free from misery.    ဗှ်ေမံၚ်အဏံတၟာလလံရဟာ (v.a) have you lived here long?    လကျာ်အယုက်ဇၞော်ရ (v.a) when the paddy is ripe then we shall reap it. [Cf.] ဏောၚ်။"
I can see him coming,ညာတ်,အဲညာတ်ဍေံကၠုၚ် (v) I can see him coming.
I cannot  think why he has not  come,မူဒှ်သာ်လဵု,မူဒှ်သာ်လဵုဍေံဟွံကၠုၚ်ဂှ်အဲတၟေၚ်ကွေံရ (int) (pron) I cannot  think why he has not  come.
I cannot answer your question,သှ်,အရေဝ်ဗှ်ေသၟာန်ဂှ်အဲသှ်ဟွံမာန် (v) I cannot answer your question.
I cannot answer your question,သဟ်,အရေဝ်ဗှ်ေသၟာန်ဂှ်အဲသှ်ဟွံမာန် (v) I cannot answer your question.
I cannot find it,ဂၠာဲ,အဲဂၠာဲဟွံဆဵု (v) I cannot find it.
I cannot find it,ဆဵု,အဲဂၠာဲဟွံဆဵု (v) I cannot find it.
I cannot get around at all.    ထ္ဍိၚ်ဒး  to trip over.    ဒဗဒး  to encounter,ဒးရး,"1 (v) that is right. as va.1. preceding main (v) {a} must, to have to. {in questions} may.    အဲဍိက်ဒးဗက်ကီုဟာ (v) I am to come too, sir?    အဲဒးအာရဟာ (v) may I go. {b} forming quasi-passive.    ဍေံဒးဒုၚ်မံၚ်ဘဲၚ္ၚေက်ဂိအ္စာ (v) he is suffering from toothache, sir.    တ္ၚဲသိုက်ဂှ် အဲဒးတိုန်ဍုၚ် (v) I have to go into town on Friday. 2. Foll. Main (v) to be able to, to chance to, do involuntarily or through negligence.    အဃောၚ္ၚုဟ်ဂၠဴတိုန် အဲသွံဒးဂၠဴအဲတန်တန် (v) I went and sold my cattle cheap just when the price was going up.    ကမၠောန်ဏံဗှ်ေကၠောန်ဒးရဟာ (v) can you do this work? [id] ကမၠောန်ဏံဗှ်ေကၠောန်မာန်ဟာ။    ဂပ်ဂဝ်ဒး (v) ought.    ဇီုဒး (v) to crash into.    ညာတ်ဒး (v) to chance to see.    ဍုၚ်ဏံဂၠံၚ်ထုဲကွေံ အဲအာကၠုၚ်ဟွံဒး (v) the streets of this town are in such a bustle, I cannot get around at all.    ထ္ဍိၚ်ဒး (v) to trip over.    ဒဗဒး (v) to encounter, chance to meet.    ဒိဒး (v) to collide with.    ဗှ်ေသမ္တီအဲဒးဟာ (v) do you remember me?    မိၚ်ဒး (v) to get to hear of.    သီပေဲါရပိုဲစဴဒးရဒှ်(ဟ်) (v) the party is over, now we can go home."
I cannot get round at all.    သီပေဲါရပိုဲစဴသ္ဒးရသဒှ်  the party is over,သ္ဒး,"2 (v) to hit {a mark}, meet with, reach {goal}, be correct, apposite, to fit.    အမူပိုဲသ္ဒးထောံအာ (v) my uncle has died. [Cf.] ကလိလောန်အာ၊ ချိုတ်အာ၊ စုတိအာ၊ တ္ၜးဘဝ၊ ပဝ်အာ၊ သ္ပကာဂစိုတ်၊ သ္ပပရိနိဗ္ဗာန်။    ဣဂှ်ဟွံသ္ဒးအလိုက် (v) that is not convenient.    အဲဍိက်သ္ဒးဗက်ကဵုဟာ (v) am I to come too, sir?    အဲသ္ဒးအာရဟာ (v) may I go?    ခ္ဍိၚ်သ္ဒး (v) to trip over.    ဂပ်ဂဝ်သ္ဒး (v) ought.    ဇီုသ္ဒး (v) to crash into. Foll. Main (v) to be able to, to chance to, to be involuntary or through negligence.    ကမၠောန်ဏံဗှ်ေကၠောန်သ္ဒးရးဟာ (v) can you be suitable to do this work?    ဍုၚ်ဏံဂၠံၚ်ထုဲကွေံ အဲအာကၠုၚ်ဟွံသ္ဒး (v) the streets of this town are in such a bustle, I cannot get round at all.    သီပေဲါရပိုဲစဴသ္ဒးရသဒှ်(ဟ်) (v) the party is over, so now we can go home.    ညာတ်သ္ဒး (v) to chance to see.    မိၚ်သ္ဒး (v) to get to hear of.    အဃောၚ္ၚုဟ်ဂၠဴတိုန်အဲသွံသ္ဒးဂၠဴအဲၚ္ၚုဟ်တန်တန် (v) I went and sold my cattle cheap just when the price was going up.    ဗှ်ေသ္တီအဲသ္ဒးဟာ (v) do you remember me?    ဍေံသ္ဒးဒုၚ်မံၚ်ဘဲၚေက်ဂိအ္စာ (v) he is suffering from toothache, sir.    ဍေံဟွံသ္ဒးကဵုကောဒေံဍေံ(ဟ်) (v) she does not get on well with her brothers.    တ္ၚဲသိုက်ဂှ်အဲသ္ဒးတိုန်ဍုၚ် (v) I have to go into town on Friday. {b} forming quasi-passive.    ဒဗသ္ဒး (v) to encounter, chance to meet.    ဒိသ္ဒး (v) to collied with.    ဒၞပ်တံဏံသ္ဒးကဵုဗှ်ေကွေံ(ဟ်) (v) these shoes fit you really well.    ပန်ဂစေံဂှ်ဟွံသ္ဒး (v) he shot at the bird and missed. [id.] လောန်တုဲလ္ပဟီု(မ်)။    ဟဵုအရေဝ်ဆသ္ဒးကရိုက်ဂှ်(ဟ်) (v) say just enough and no more. [Cf.] ဂွံ(အ်)၊ စုက်၊ စပ်၊ ဇီု(မ်)၊ ဍာံ(မ်)၊ ဒိ၊ ဒုၚ်၊ ဒွံ(အ်)၊ ဖစပ်၊ လုက်။    [Der.] ဗ္ဒး (v) to bring together."
I cannot go around at all,ထုဲ,"ဍုၚ်ဏံဂၠံၚ်ထုဲကွေံကွေံ အဲအာဟွံဒး(v) the streets of this town are in such a bustle, I cannot go around at all."
I cannot keep up with you.    ၜိုတ်ဗှ်ေစမာန်ဂှ်စညိ  eat as much as you can.  ဇၞး။  ဂွံ၊ လာပ်။  ကျ။,မာန်,"3 (v) to win, to beat.    ညးဂှ်မာန်ရော (v) who won?    ညးမွဲဟွံမာန်ဍေံ(ဟ်) (v) no one could beat her.    ဟွံမာန်ဇြဟတ်ကၠဂှ်(ဟ်) (v) his strength was no match for that of the tiger. As, [va.] occasionally combined with {ဂွံ(အ်)} to be able to, esp. to be physically capable of, free from impediment.    အဲမိက်ဂွံဟီုအရေဝ်ကဵုသၟိၚ်ဇၞော်မွဲစုတ် ကဵုအခေါၚ်ကဵုအဲမာန်ဟာ (v) may I have Your Honor's permission to speak to you for a moment?    ဍေံထ္ၜၚ်လျိူၚ်မသုန်စှော်ပသာမာန် (v) he can lift a weight of fifty viss.    တန်ဒှ်တိတ်မာန်လေဝ်တိတ်မာန်ဏောၚ် (v) perhaps it will be possible for it to be produced.    တ္ၚဲဏံဗှ်ေမိက်ဂွံကၠောန်မ္ဂးကၠောန်မာန်ရ (v) if you want to do it today, you can.    ဓဝ်ဒေါသဂှ်ပလေဝ်ဍေံမာန်မ္ဂးဟွံဒှ်သေက်ဇဵုညးသ္ကံရ (v) if anger could be abolished, there would be no strife.    ဗှ်ေအာအတေံမာန်ဟာ (v) are you free to go there?    ရံၚ်တ္ၚဲတုဲတီအခိၚ်မာန်ဟာ (v) can you tell the time by sun?    ရန်ကဵုဒ္ဂေတ်ဍေံပရေံတုဲဍေံမၞိဟ်ခိုဟ်မွဲဟွံသေၚ်ဂှ်တီမာန်ရ (v) if you consider the defects of his conduct you can see he is not a good person.    လ္ပကွာ်ပြဟ်အဲဗက်ဟွံမာန် (v) do not work so fast, I cannot keep up with you.    ၜိုတ်ဗှ်ေစမာန်ဂှ်စညိ (v) eat as much as you can. [Cf.] ဇၞး။ [va.] ဂွံ(အ်)၊ လာပ်။ [opp.] ကျ။"
I cannot let you have one,ကေတ်,"ဗှ်ေကေတ်ဗ္ၜေံခိုဟ်ခိုဟ်ဂှ် အဲကဵုဟွံမာန် (v) if you want a sound goat, I cannot let you have one."
