English,Mon,Original_Definition
Hail.  ပၠဳ။,ဗြဲပၠဳ,(n) hail. [Cf] ပၠဳ။
Hailstone,မပၠဳ,(n) hailstone.
Hair,ကေသာ,(n) [P. keso] hair.
Hair,သော်,"(n) hair, feather, quill."
Hair clip,ကရာပ်,"1 (n) clip, peg of split bamboo, horizontal slat securing attap walling, cleft bamboo stick used in grilling fish etc. [id] တရာပ်။    [Der.] ကြာပ် (v) to press between two surfaces.    ကရာပ်က (n) pincers to roast fishes.    ကရာပ်သော် (n) hairpin, hair clip."
Hair clip,ကရာပ်သော်,"(n) hairpin, hair clip."
Hair clip,တရာပ်သော်,"(n) hairpin, hair clip."
Hair is bristled,သော်ကရာန်,(n) hair is bristled.
Hair of animals,ကသော်,"(n) hair of animals, fur. [id] တသော်။"
Hair of animals,တသော်,"(n) body hair, hair of animals, fur of animals, fur. [Cf.] ကသော် (n) hair."
Hair of animals,တသောက်,"(n) body hair, hair of animals, fur of animals, fur. [Cf.] ကသော် (n) hair."
Hair of animals,တသော်သတ်,"(n) hair of animals, fur."
Hair of eyebrow,သော်ဒၞေၚ်မတ်,"(n) hair of eyebrow, eyebrow. [id.] သော်သၞေၚ်မတ်။"
Hair of the face,လော်ကှ်ေ,"(n) hair of the face, the facial hair."
Hair of the head,သော်က္ဍိုပ်,"(n) hair of the head, a term of endearment."
Hair oil.  ကၠေၚ်ခယိက္ဍိုပ်။,ခယိ,ကၠေၚ်ခယိသော် (n) hair oil. [id] ကၠေၚ်ခယိက္ဍိုပ်။
Hair relic,ဓါတ်သော်,(n) hair relic.
Hair standing on end,ရကိုဟ်,"(n) legendary monster emerging from unsettled places to devour men, ogre, demon [P. rakkasa], they are said to have staring yes, hair standing on end, bellies and spreading tusks, they are said to come out of the water and are otherwise named ကလော်ဍာ်(က်) water demons. [Cf.] တကိုဟ်၊ လကိုဟ်။"
Hair that grows in a circle on the head or neck of a man,သၚ်,"6 (n) hair that grows in a circle on the head or neck of a man, ox or horse."
Hair worn loose,တလာဲ,သော်တၠာဲ (n) hair worn loose.
Hair worn loose.  ကညံ၊ ကယျာ၊ ကွာ၊ ပလာဲ၊ ပလိုဟ်၊ ပၠိုဟ်၊ ဗလိုဟ်၊ လး၊ သှ်။  လာဲ  to become loose,ကလာဲ,သော်တလာဲ (v) hair worn loose. [Cf.] ကညံ(အ်)၊ ကယျာ၊ ကွာ၊ ပလာဲ၊ ပလိုဟ်၊ ပၠိုဟ်၊ ဗလိုဟ်၊ လး၊ သှ်။ [Der.] လာဲ (v) to become loose.
Hair-knot,သော်ယံၚ်,"(n) coiled or knotted hair, hair-knot, topknot worn by men, hairdo, style of hair dress used by young children with topknot, fringe round head, and lower part of back head shave, knot of hair worn by men. [id.] ဗီုသော်(က်)။ [Cf.] ဂၠောန်လၟု၊ ဒွက်သော်(က်)။"
Hair-oil,တၠေၚ်ဒယိသော်,(n) hair-oil.
Hair-pin.  တၞောတ်သော်၊ ဇွောံကေပ်သော်။,ကၞောတ်သော်,(n) hair-pin. [id] တၞောတ်သော်(က်)၊ ဇွောံကေပ်သော်(က်)။
Hairdo,သော်ယံၚ်,"(n) coiled or knotted hair, hair-knot, topknot worn by men, hairdo, style of hair dress used by young children with topknot, fringe round head, and lower part of back head shave, knot of hair worn by men. [id.] ဗီုသော်(က်)။ [Cf.] ဂၠောန်လၟု၊ ဒွက်သော်(က်)။"
Hairdresser,သၟာရေတ်သော်,"(n) barber, hairdresser."
Hairdresser.  မၞိဟ်ခေပ်သော်၊ သၟာခေပ်သော်၊ မၞိဟ်ရေက်သော်၊ သၟာရေက်သော်။,သၟာဆတ္တာ,(n) hairdresser. [id.] မၞိဟ်ခေပ်သော်(က်)၊ သၟာခေပ်သော်(က်)၊ မၞိဟ်ရေက်သော်(က်)၊ သၟာရေက်သော်(က်)။
Hairless.  မၞိဟ်ဟွံမွဲကဵုတသော်က္ဍိုပ်၊ ဒဒှ်တသော်က္ဍိုပ်ဟွံမွဲ။,မၞိဟ်က္ဍိုပ်ထလာတ်,(n) hairless. [id.] မၞိဟ်ဟွံမွဲကဵုတသော်က္ဍိုပ်၊ ဒဒှ်တသော်က္ဍိုပ်ဟွံမွဲ(ယ်)။
Hairline of buddha image,ဗြ,"(n) ဗြကၞေၚ် (n) fillet round hair, hairline of Buddha image, crown, sacred whorl appearing on the forehead of the Buddha, be jewelled frontlet which forms part of the royal regalia."
Hairpin,ကရာပ်သော်,"(n) hairpin, hair clip."
Hairpin,တရာပ်သော်,"(n) hairpin, hair clip."
Hairy,ဗၚ်ဗုဲ,"(v) hairy, to be shaggy, rough hairy of dogs with long hair. [id] မနွံကဵုတသော်ဂဗိုက်ဂဗိုက် (adj)၊ မနွံကဵုတသော်တီုတီု။"
Half,တရေက်,"(n) part split of, slat, flat piece, sheet, piece, half."
Half,ပွာ်,(n) half.
Half,ပွာက်,(n) half.
Half,ဘာ်,(n) half.
Half,ဘာက်,(n) half.
Half,သ္ပာ်,ကဝက် (n) half.
Half,သ္ပာ်,"လ္ပာ်(က်) (n) side, half, part."
Half a day,ကဝက်တ္ၚဲ,(n) half a day.
Half a lunar month,ပက်,"2 (n) [P. pakkho] half a lunar month, fortnight. [id] ပက္ခ။"
Half a mile,ကဝက်တိုၚ်,(n) half a mile.
Half a mile,ဘာ်တိုၚ်,(n) half a mile.
Half a viss. ကပါ်  half,အပါ်,"(n) 1/2  viss, 50 ticals, half a viss.[Var.] ကပါ် (n) half, measure of weight equal to half a ပသာ or fifty ဒကေဝ်. [Cf.] ကဝက်၊ ကဝါ်၊ ပသာ၊ ဘာ်။ [Var.] ကပါ်၊ ပါ်။"
Half brother.  ကောန်မွဲယာဲၜါအပါ။,ကောန်မွဲအပါၜါယာဲ,(n) half brother. [id] ကောန်မွဲယာဲၜါအပါ။
