English,Mon,Original_Definition
Queen.  မဟေသဳဗြဴ။  ဂၞကျာ်။,မဟေသဳ,"(n) [P.] the chief queen, king’s wife, queen. [id] မဟေသဳဗြဴ။ [Var.] ဂၞကျာ်။"
Quercus calathiformis skan,က္ဍိုၚ်ထဝ်,"(n) species of oak, Quercus calathiformis Skan, ceremonial golden umbrella."
Quercus calathiformis skan,ဍိုၚ်,"2 (n) umbrella, formalized royal umbrella erected over pagoda. [id] က္ဍိုၚ်။    က္ဍိုၚ်ဗ္တာၚ် (n) white umbrella, insignia of royalty. [id] က္ဍိုၚ်ကၟု။    က္ဍိုၚ်ထဝ် (n) species of oak, Quercus calathiformis Skan, golden umbrella.    ဒလဝ်က္ဍိုၚ် (v) to put up, use, umbrella."
Quercus l,ကြောတ်,"1 (n) oak, Quercus L."
Quern for husking rice,ခဝုတ်,"(n) quern for husking rice, consisting of wooden cylinder with channel into which paddy is poursed, resting on fixed cylinder and rotated by capstan bar, churn lathe, a mill for grinder rice. [id] ဗဝုတ်။"
Quern for husking rice,ဗဝုတ်,"(n) turning lathe, quern for husking rice, consisting of wooden cylinder with channel into which paddy is poured, restion on fixed cylinder and rotated by capstan ban, churn lathe. [id] ဗွုတ်။"
Question,တၚ်သၟာန်,"(n) question, matter inquired of."
Question,ဓိကိုဝ်,"(n) question, trial, difficulty."
Question,ဓိကဵု,"ဓိကိုဝ် (n) question, trial, difficulty."
Question,သၟာန်,"1 (n) question, questioning."
Question,သၟာန်ဇာန်,"(v) ask, inquire, sound out, question."
Questioning,သၟာန်,"1 (n) question, questioning."
Queue,ထတဴ,မၞိဟ်ထ္တဴရေၚ် (v) queue.
Queue,နိဟ်,မၞိဟ်ထ္တဴရေၚ် (n) queue.
Queue up,မၞိဟ်ဒတူရေၚ်,(n) queue up.
Queue.    ရိုဟ်ရၚ်  to enumerate.    သ္ၚိရၚ်တၟေၚ်ဆက်  terrace of houses with continuous veranda,ရၚ်,"1 (v) to form a row, extend in line, to place in row, arrange, stand in a row, to stand in a row to be together.    စဳရၚ် (v) to make arrangements.    မၞိဟ်ထ္တဴရၚ် (v) people standing in line, queue.    ရိုဟ်ရၚ် (v) to enumerate.    သ္ၚိရၚ်တၟေၚ်ဆက် (v) terrace of houses with continuous veranda."
Quick,ပရေက်,"(v) to be smart, quick, active. (adj) smart, active."
Quick,ပြဟ်,"1 (v) to be early, quick, active, quicken. [id] ပြဟ်ပြေဟ်၊ ပြဟ်မြက်၊ သ္ကဵုပြဟ်ပြေဟ်၊ သ္ကဵုလမျီုလုပ်။    အာကဵုပြဟ်မံၚ် (v) hurry up and go.    အာပြဟ်ပြဟ် (v) go quickly.    စိုတ်ပြဟ် (v) to be impetuous.    ဇၞော်ပြဟ် (v) to grow quickly.    နာဍဳပြဟ်မံၚ် (v) the clock is fast.    နူပြဟ်ပြဟ်ဟွံဂွံတီ ဂိကွေံရ (v) it is a great pity, I did not  know sooner.    နွံညာန်ပြဟ်မြက် (v) having a quick intelligence. [Cf.] ဗရက်။ [opp.] ဇာ၊ ဇျာ၊ လဇုဲ။    [Der.] ပရှ် (n) speed."
Quick,ပြဟ်ပြေဟ်,"(v) to be fast, quick, active, to be early."
Quick and alert person,မၞိဟ်မြက်စာ,(n) quick and alert person.
Quick at learning,မဍေန်တိုန်ပါၚ်လောဲ,(adj) quick at learning.
Quick at learning,မဍေန်တိုန်ပါၚ်လောဲ,(adj) quick at learning.
Quick in action,အုၚ်,"(v) become active, quick in action."
Quick in retort,ဟီုဂးခၠေဝ်သှ်လေပ်,(v) quick in retort.
Quick in thought.  စိုတ်ပြဟ်မြက်။,မနွံကဵုစိုတ်ပြဟ်ပြဟ်,(adj) quick in thought. [id] စိုတ်ပြဟ်မြက်။
Quick lime,ခပဵုသကှ်,(n) quick lime.
Quick sand.   ဗ္တဳပါၚ်က္ၜဳ။,ဗတဳ,ဗ္တဳလတာ (n) quick sand. [id]  ဗ္တဳပါၚ်က္ၜဳ။
Quick silver,ပြဒါ,"(n) [P. Rarado] quick silver, mercury."
Quick tempered man,အကာတ်,"(n) quick tempered man, rough man, harsh tempered man, intense man, strong-hearted man."
Quick to act,ဇိုၚ်တဲပြဟ်,(adv) quick to act.
Quick witted.  စ္ဍိုဟ်၊ သ္ဍိုဟ်၊ သ္ဍိုဟ်ကေက်။,ညာန်ဗဇ္ဇဗတ်,"(n) intelligence, quick witted. [id] စ္ဍိုဟ်၊ သ္ဍိုဟ်၊ သ္ဍိုဟ်ကေက်။"
